Diner Id,Restaurant Name,Restaurant Id,Visit Time,Covers,Review Score
684047,The Westerwood - Flemings Restaurant,5749,2016-10-22 19:30:00,2,NULL
684047,The Westerwood - Flemings Restaurant,5749,2016-10-29 20:30:00,2,NULL
684047,Mottram Hall - Carrington Grill,7463,2016-10-30 18:30:00,2,NULL
684047,Ashford Internation Hotel -Horizons Restaurant,8296,2016-10-01 18:45:00,2,NULL
727005,Lebowskis South Side,8545,2016-10-11 18:30:00,2,NULL
727005,Cail Bruich,6917,2016-10-29 20:00:00,2,NULL
733855,The Anchor Line Bar and Grill,6214,2016-10-08 20:15:00,4,NULL
733855,Chaophraya Glasgow,4709,2016-10-28 17:45:00,2,NULL
737072,Ox and Finch,5909,2016-10-09 19:00:00,2,NULL
737072,Ox and Finch,5909,2016-10-28 17:00:00,2,NULL
737072,Porter & Rye,6482,2016-10-01 19:30:00,2,NULL
737072,Porter & Rye,6482,2016-10-07 20:00:00,2,NULL
762199,Cafe Andaluz Glasgow | West End,3345,2016-10-08 20:45:00,2,NULL
762199,Ashoka Ashton Lane,5027,2016-10-08 19:00:00,2,NULL
762729,The Italian Kitchen,6638,2016-10-29 17:15:00,3,NULL
762729,The Meat Bar,5086,2016-10-26 18:30:00,2,NULL
780705,Amore Merchant City,5782,2016-10-14 12:45:00,2,NULL
780705,The Griffin,8218,2016-10-23 17:30:00,2,NULL
780705,The Italian Caffè,6737,2016-10-22 12:00:00,2,NULL
786933,Arisaig Restaurant,3146,2016-10-08 12:15:00,2,NULL
786933,The Griffin,8218,2016-10-08 14:00:00,2,NULL
788345,Tony Macaroni Byres Rd,3854,2016-10-10 18:15:00,2,NULL
788345,Black Sheep Bistro,8287,2016-10-02 19:00:00,2,NULL
797658,Raffaelle's Italian Kitchen and Bar,7009,2016-10-14 20:45:00,2,NULL
797658,Ox and Finch,5909,2016-10-22 15:00:00,2,NULL
797658,Raffaelle's Italian Kitchen and Bar,7009,2016-10-07 21:15:00,2,NULL
821515,The Italian Caffè,6737,2016-10-29 15:00:00,4,5
821515,Carters Restaurant,7343,2016-10-08 19:45:00,4,1.8
824060,Eusebi Restaurant & Deli,7691,2016-10-22 20:30:00,2,5
824060,Alchemilla,9121,2016-10-29 20:15:00,2,NULL
844136,Porter & Rye,6482,2016-10-20 18:00:00,2,NULL
844136,Amore D'Italia Dennistoun,6343,2016-10-12 12:00:00,3,NULL
854909,Bella Napoli,7808,2016-10-29 19:45:00,4,NULL
854909,Black Dove,7332,2016-10-02 19:30:00,2,NULL
861516,Ox and Finch,5909,2016-10-29 20:30:00,6,NULL
861516,The Spiritualist,8037,2016-10-14 13:15:00,2,NULL
881520,Cafe Gandolfi,6735,2016-10-24 19:00:00,5,NULL
881520,Ox and Finch,5909,2016-10-28 17:30:00,4,NULL
887593,The Orangery @ Seamill Hydro,4651,2016-10-31 14:30:00,2,NULL
887593,The Italian Kitchen,6638,2016-10-21 17:15:00,2,3.6
887593,Cup Tea Lounge - Glasgow,5495,2016-10-15 13:00:00,2,NULL
887593,The Orangery @ Seamill Hydro,4651,2016-10-31 20:00:00,2,NULL
891382,Ox and Finch,5909,2016-10-20 20:30:00,4,NULL
891382,Eusebi Restaurant & Deli,7691,2016-10-31 12:00:00,4,NULL
935670,Arisaig Restaurant,3146,2016-10-15 14:30:00,2,5
935670,Maggie Mays,8710,2016-10-15 14:30:00,2,4.6
994559,Blythswood Square Restaurant,3858,2016-10-05 16:45:00,2,NULL
994559,Grand Central Hotel Glasgow (Tempus),4392,2016-10-15 17:45:00,2,NULL
997699,Mango,7733,2016-10-01 19:00:00,4,NULL
997699,Mango,7733,2016-10-07 22:00:00,9,NULL
997699,Mango,7733,2016-10-16 19:00:00,2,NULL
